bgc_id	compound	tax_id	strain	species	genus	family	order	class	phylum	clade	superkingdom	species group	section	suborder	subclass	subphylum	subkingdom	kingdom	subgenus	subspecies	species subgroup	subfamily	varietas	serotype	tribe	subtribe
BGC0001532	bogorol A	1465		Brevibacillus laterosporus	Brevibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria															
BGC0001533	borrelidin	1928		Streptomyces rochei	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces rochei group														
BGC0001534	branched-chain fatty acids	67294		Streptomyces filamentosus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001535	branched-chain fatty acids	67294		Streptomyces filamentosus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001536	brevicidine	1465		Brevibacillus laterosporus	Brevibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria															
BGC0001537	butyrolactol A	1550033		Streptomyces sp. NBRC 110030	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001539	cattlecin	1003195	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488	Streptantibioticus cattleyicolor	Streptantibioticus	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001540	CC-1065	1981977		Streptomyces zelensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001541	cercosporin	122368		Cercospora beticola	Cercospora	Mycosphaerellaceae	Mycosphaerellales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota				Dothideomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001542	cercosporin	348901		Cercospora zeina	Cercospora	Mycosphaerellaceae	Mycosphaerellales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota				Dothideomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001543	chejuenolide A	158327		Hahella chejuensis	Hahella	Hahellaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria															
BGC0001544	chlorflavonin	1392248	Aspergillus campestris IBT 28561	Aspergillus campestris	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001545	chrysogine	229533	Fusarium graminearum PH-1	Fusarium graminearum	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota	Fusarium sambucinum species complex			Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001547	citreohybridonol	1549217		Aspergillus stellatus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001548	citrulassin A	68570		Streptomyces albulus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001549	citrulassin B	1286094	Streptomyces aurantiacus JA 4570	Streptomyces aurantiacus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces aurantiacus group														
BGC0001550	citrulassin D	68223		Streptomyces katrae	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001551	citrulassin E	1907		Streptomyces glaucescens	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001552	citrulassin F	227882	Streptomyces avermitilis MA-4680 = NBRC 14893	Streptomyces avermitilis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001553	clifednamide A	858632		Streptomyces sp. JV178	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001554	coenzyme F430	269797	Methanosarcina barkeri str. Fusaro	Methanosarcina barkeri	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Stenosarchaea group	Archaea															
BGC0001556	combamide	1931		Streptomyces sp.	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001558	cosmomycin C	1169155		Streptomyces sp. CNT302	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001560	cryptomaldamide	1454205	Moorena producens JHB	Moorena producens	Moorena	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				Oscillatoriophycideae											
BGC0001561	curacomycin	146536		Streptomyces curacoi	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001562	curacomycin	146536		Streptomyces curacoi	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001563	curvupallide-B	318706		Curvularia pallescens	Curvularia	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			Pleosporineae	Pleosporomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001564	cusperin	2052836	Cuspidothrix issatschenkoi CHARLIE-1	Cuspidothrix issatschenkoi	Cuspidothrix	Aphanizomenonaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria															
