bgc_id	compound	tax_id	strain	species	genus	family	order	class	phylum	kingdom	domain	cellular root	subclass	clade	subspecies	suborder	species group	species subgroup	varietas	serotype	subphylum	subkingdom	subfamily	isolate	subgenus	realm	acellular root	tribe	subtribe
BGC0002005	RaxX	64187		Xanthomonas oryzae	Xanthomonas	Lysobacteraceae	Lysobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0002006	albusnodin	1888		Streptomyces albus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002007	atolypene A	208445		Amycolatopsis tolypomycina	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002008	aryl polyenes	351671		Xenorhabdus doucetiae	Xenorhabdus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0002009	kanglemycin A	208444		Amycolatopsis vancoresmycina	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002010	streptophenazine B	1169156		Streptomyces sp. CNB091	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002011	ansacarbamitocin A	1125972	Amycolatopsis alba DSM 44262	Amycolatopsis alba	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002012	julichrome Q3-3	1283301	Streptomyces afghaniensis 772	Streptomyces afghaniensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002013	curacozole	146536		Streptomyces curacoi	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002014	pepticinnamin E	1592326		Actinobacteria bacterium OK006				Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002015	aborycin	1904044		Streptomyces sp. ZS0098	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002016	lugdunomycin	2093747		Streptomyces sp. QL37	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002017	potensibactin	570268	Nocardiopsis potens DSM 45234	Nocardiopsis potens	Nocardiopsis	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002018	azomycin	1003195	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488	Streptantibioticus cattleyicolor	Streptantibioticus	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002019	tiancilactone A	1703937		Streptomyces sp. CB03234	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002020	photolose	243265	Photorhabdus laumondii subsp. laumondii TTO1	Photorhabdus laumondii	Photorhabdus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms			Photorhabdus laumondii subsp. laumondii														
BGC0002021	fogacin	512565	Actinoplanes missouriensis 431	Actinoplanes missouriensis	Actinoplanes	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002022	armeniaspirol A	83291		Streptomyces armeniacus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002024	nargenicin A1	1311812		Nocardia argentinensis	Nocardia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002025	thaxteramide C	1434086		Jahnella sp. MSr9139	Jahnella	Polyangiaceae	Polyangiales		Myxococcota	Pseudomonadati	Bacteria	cellular organisms	Polyangia																
